anger	death	family	home	humans	insight	negative_affect	percept	positive_affect	social	time
			neighborhood:1	kids:1,man:2	believe:1,think:1,know:1		beautiful:1,honey:1,eyes:1,said:1,look:3,see:1,view:2	beautiful:1,great:1,good:1,like:2,wow:3,better:1,amazing:1,easy:1,awesome:1,best:1	them:1,said:1,neighborhood:1,their:1,we:2,honey:1,talking:1,kids:1,they:2,our:1,you:9,he:1,your:1,man:2	0
		parents:1	house:1,window:1,bedroom:1	kids:1	think:1,remember:2		see:2,look:1	ok:1,cutie:1,well:1,like:4,fine:1	everybody:1,we:6,kids:1,name:4,excuse:1,them:3,met:1,parents:1,they:5,you:7,their:2,he:1	1
		daddy:2						ok:1,promise:1	you:2,daddy:2	2
		dad:2			feel:1,answer:1,question:1	wrong:1	feel:1,see:2,brush:2	ok:3,sure:1,fine:1,lucky:2,excited:1	dad:2,you:14,question:1,tell:1,we:2	3
		dad:2,mom:1	door:1	boy:2,guys:1	knowledge:1,learn:1,remember:1,know:3,wonder:1	shocking:1,doubt:1	see:2,says:1,look:1,sandy:1	funny:2,ok:1,like:1,joke:2,safe:1,well:2,ready:1,funnier:1	dad:2,we:8,his:1,says:1,give:1,met:1,who:1,talking:1,mom:1,ask:1,guys:1,him:1,he:1,boy:2,excuse:1,hey:1,us:1,meet:2,you:9,bye:1,tell:1	4
obnoxious:1		dad:3	beds:1,bathyal:1,yard:1	kids:1,mr:2	exploring:1,knowledge:1,feel:1,wonder:1,explorers:1,thoughts:1,think:1	wrong:1	feel:1,see:3,looks:1	better:2,funny:1,play:3,like:1,well:1,lucky:1,nice:1	dad:3,them:2,kids:1,name:2,who:1,we:2,hey:1,his:3,call:1,tell:1,they:1,mr:2,you:9,hello:1,he:6	5
		dad:2,son:1	home:1	boy:2,girls:1,man:1	find:1,remember:1,means:1,answer:1,question:1,explorers:2,know:1	worry:1,hurt:1		funny:1,kind:1,welcome:1,ok:3,like:1,safe:1,well:1,calm:2,pretty:1	dad:2,we:3,question:1,welcome:1,them:3,son:1,they:2,our:1,ourselves:1,man:1,boy:2,he:3,group:1,name:2,girls:1,hey:1,him:1,you:9,bye:3,tell:1	6
		dad:3,parents:1		kids:2,guys:2	feel:1,explore:1,know:2		said:1,says:1,look:1,feel:1,see:1,touch:1,saw:1,sandy:1,cool:2	good:1,ok:3,wow:1,safe:1,well:1,lucky:1,free:1,pretty:1,fun:1,fine:1	dad:3,kids:2,says:1,gather:1,your:2,hey:1,tell:1,said:1,parents:1,you:8,guys:2,called:1,he:3	7
interrupt:1,hate:1		dad:1,daddy:1		sir:1,man:1	think:2,mean:1	interrupt:1,scared:1,lost:1	saying:1,said:1,listening:1,looking:2,see:1,hear:1,touched:1,sight:1,touch:1	assure:1,good:1,ok:2,ready:1,safe:1,sure:1	dad:1,saying:1,help:1,excuse:1,hear:1,listening:1,interrupt:1,your:1,man:1,sir:1,he:5,said:1,gather:1,him:1,you:25,daddy:1	8
		dad:1,daddy:1,son:2		kids:1			seen:1,white:1	please:3	dad:1,kids:1,help:1,they:1,daddy:1,anybody:1,son:2	9
				sir:1	find:1	scared:1	seen:2,see:1,white:1,look:1	ok:3,thank:3	sir:1,buddy:1,hey:3,hi:1,they:1,you:14,he:3,him:1,told:1	10
		family:1,son:1	family:1		understand:1,know:2,memory:2,mean:1,believe:1,find:1,think:1	loss:2,wrong:1	see:1,sounds:1,say:1,look:1	funny:2,kind:1,love:1,like:4,joke:1,well:1,great:1,party:3,parties:2,fun:2,ok:1,trust:1,true:1	we:2,love:1,help:1,family:1,hey:1,son:1,say:1,hi:1,they:1,parties:2,party:3,you:7,hello:1,name:1	11
					seem:1,feeling:1,think:1	difficult:1	say:1,feeling:1,look:1,image:1,stinkin:1	cute:1,thanks:1,friends:3,honor:1,friend:2,nice:1	we:3,your:2,help:1,meeting:2,them:1,us:1,hey:1,say:1,mate:2,they:2,you:6,friends:3,hello:2,friend:2,name:1	12
		daddy:1,father:2,son:1		boy:1,humans:1,human:1	know:1,mean:1,knew:1,find:1,think:2,inspiration:1		looking:1,says:1	funny:1,good:2,ok:2,joke:2,well:1,jokes:1,hug:1,pretty:1,love:1,glad:1,inspiration:1	we:2,everyone:1,love:1,they:2,his:1,who:1,humans:1,son:1,hi:1,mates:1,human:1,talks:1,says:1,your:2,he:4,boy:1,group:1,name:2,father:2,us:1,hello:2,anyone:1,everything:1,mate:3,you:4,daddy:1,tell:1,talk:1	13
grr:1		father:1		guys:2	remember:2,means:1,mean:1,knew:1,find:1,wonder:1		look:2	funny:1,good:1,ok:2,like:1,friends:1,well:1	we:1,his:1,help:1,give:1,friends:1,who:1,father:1,hey:1,mate:2,you:4,guys:2,he:2	14
		dad:1,daddy:1		guy:2	found:1,think:1		grab:1,beauty:1	ok:2,beauty:1,heh:3,ready:1,party:1,please:1,nice:2	dad:1,we:1,his:1,hello:1,mate:1,you:2,party:1,guy:2,daddy:1,him:1,he:2	15
	death:1	dad:2,auntie:1,sister:2	pet:3,home:1,clean:2	boy:2	knew:1,seems:1,know:2	scared:1,worry:1	blue:2,said:1,says:1,honey:1,see:1,hear:1,looks:1,listen:1	favor:1,wow:1,likes:1,pretty:1,like:2	dad:2,we:3,says:1,auntie:1,honey:1,hi:1,hear:1,ask:1,him:1,he:6,boy:2,sister:2,said:1,your:2,she:1,mail:1,you:7,talk:1,listen:1	16
killer:1,disgusting:1	killer:1	mummy:1,dad:1,daddy:1,niece:1		guy:1,mr:1,girl:1,human:1,man:1	secret:1	wrong:1,killer:1,shaking:1,disgusting:1	picture:1,say:1,see:1	chuckles:1,favoring:1,well:1,hope:1	dad:1,who:1,help:2,express:1,say:1,guy:1,human:1,our:1,girl:1,your:2,he:6,daddy:1,her:3,mummy:1,they:2,hey:3,him:2,secret:1,niece:1,mr:1,you:3,man:1,hello:2,she:5	17
				kid:2	thinking:2,think:1		touch:1,seen:1,see:1,look:1	perfect:1,good:1,yay:1,like:1,wow:1,careful:1,calm:1	we:1,help:1,give:1,he:1,your:2,you:9,kid:2,him:2,name:1	18
		son:1		mr:1	finding:1,know:2	lost:1	blue:1,say:1,look:1,see:1,song:1	wow:1,love:1	we:2,love:1,mr:1,you:6,hey:2,say:1,son:1	19
	dead:1				feeling:2,know:1		touch:1,see:7,look:1,spoken:1,light:2,feeling:2	good:2,ok:1,friend:1,pretty:1,best:1,happy:1	we:1,your:2,deal:1,spoken:1,who:2,hey:3,tell:1,you:10,complain:1,friend:1	20
	dead:5,died:1			mr:1	remembered:4,know:1,sense:1		light:2,say:1,said:1	ok:4,kind:1,please:1,great:2,cares:1	we:2,said:1,mr:1,you:1,who:1,say:1	21
									your:1,name:1	22
	death:1	brother:2		boy:1,kid:1	known:1		orange:1,fire:3,white:1,said:1,ring:3	agreed:2,welcome:1,please:1	we:7,his:1,help:1,welcome:1,send:1,they:1,our:1,him:3,he:1,boy:1,said:1,brother:2,us:2,called:1,you:7,kid:1,tell:1	23
offense:1			window:1,clean:1	individual:1,kid:1	question:1,think:3,know:1		see:1,hear:1	fine:1,ok:1,pretty:1,best:2	we:3,who:2,him:1,excuse:1,hi:1,hear:1,they:1,ask:1,ourselves:1,kid:1,question:1,hey:1,us:2,tell:4,individual:1,you:16,he:4,hello:1,talk:1	24
bothering:1				gentlemen:1,lady:3,guy:1,guys:1,boy:1	mean:4,complicated:1,remember:1,know:2,feelings:1	serious:1,hurt:1	butter:1,look:1,seen:1,tongue:1,saw:1,nose:1,feelings:1	good:2,ok:1,thank:1,dear:1,impressions:1,please:2,like:7	we:3,somebody:2,give:2,talking:1,they:2,guys:1,you:20,boy:1,group:1,lady:3,hey:6,your:1,gentlemen:1,guy:1,pal:1,tell:1	25
frustrating:1,bothering:1		relatives:1,ma:1,son:3	home:1	baby:1,partner:1,guy:1,guys:3	think:1,know:3,remember:2	lost:1	heard:1,loosen:1	great:1,good:1,ok:1,thank:1,helper:1,well:1,please:1,helping:2,sure:2,silly:1,easy:1,impressions:1,nice:1	his:1,help:1,helper:1,son:3,helping:2,heard:1,guy:1,they:2,baby:1,partner:1,guys:3,your:2,he:3,ma:1,buddy:1,her:1,mention:1,name:1,hey:6,him:2,their:1,relatives:1,you:16,bye:1,tell:1	26
	death:1			partner:1,guy:1,boy:1	think:1,know:1		looking:1,see:1,look:4,touch:3,shiny:1,watch:1,red:1	thankful:1,kind:1,sure:1,ok:2,fine:1,trust:3,friends:1	boy:1,we:8,hello:1,hey:3,you:5,talking:1,call:1,telling:1,partner:1,guy:1,friends:1,him:1,he:2	27
cheating:1,fight:1	death:1			man:1	question:1,idea:1,think:1		touch:1,look:1,listen:1	careful:2,love:1,ok:1,win:2,fun:1,wins:1,winner:1	we:4,love:1,give:1,question:1,us:1,fight:1,game:3,games:1,they:1,you:9,listen:1,man:1	28
		dad:1		kid:3	meant:1	scared:1,lost:1	looking:2,grabbed:1	wow:1,fine:1,lucky:1,winning:1	dad:1,we:2,someone:1,your:2,you:10,he:4,him:1,kid:3	29
				kid:2	idea:1		see:2,hear:1,grab:1	great:1,good:1,ok:2,nicely:1,calm:1,careful:1,fine:1,nice:1	we:1,help:1,hear:1,you:5,kid:2,him:1,talk:1,he:2	30
		father:1		man:2,mr:2		serious:1	grab:1,saw:1	awesome:1,ok:2,like:3,thrill:1	we:2,name:1,father:1,hey:1,talking:1,mr:2,you:6,he:1,him:1,man:2	31
							blue:1,grab:2	ok:1,ready:1,fine:1,wow:1,heh:2,nice:1	you:4,she:2	32
kill:1	die:1,kill:1	dad:1,son:1		mr:1	find:1,know:6	kill:1	blue:1,sweet:1,see:4,look:1,cool:1	funny:1,liked:1,goodness:1,ready:1,sweet:1,awesome:1,well:1	dad:1,everybody:1,we:1,give:1,hey:2,us:1,your:1,their:1,they:4,mr:1,you:15,son:1,him:1,themselves:1	33
